System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:17:16:886, 36432615018100,    0.110,   21.000, 1300,   7.387,   0.815,   0.226,   3.637,   0.401,   0.111, 55,  0,   0.000,   0.000,   0.000,   0.065,   0.007,   0.002,  24.000,  51.000, 105.000,   0.000,   0.000,   46,  81.859
13:17:17:010, 36432917085991,    0.235,   23.000, 1400,   7.188,   1.713,   0.476,   4.246,   0.932,   0.259, 55,  0,   0.000,   0.000,   0.000,   0.102,   0.020,   0.006,  24.000,  51.000, 105.000,   0.000,   0.000,  467,  33.662
13:17:17:119, 36433180101079,    0.344,   41.000, 3800,   9.940,   2.793,   0.776,   5.762,   1.558,   0.433, 58,  0,   0.000,   0.000,   0.000,   0.083,   0.029,   0.008,  24.000,  51.000, 105.000,   0.000,   0.000,   31,  36.215
13:17:17:242, 36433477963204,    0.467,   28.000, 1500,   7.639,   3.734,   1.037,   3.923,   2.041,   0.567, 54,  0,   0.000,   0.000,   0.000,   0.144,   0.047,   0.013,  24.000,  51.000, 105.000,   0.000,   0.000,  522,  44.447
13:17:17:368, 36433781829890,    0.593,   50.000, 3800,  16.310,   5.783,   1.606,  12.511,   3.612,   1.003, 59,  0,   0.000,   0.000,   0.000,   0.310,   0.086,   0.024,  24.000,  51.000, 105.000,   0.000,   0.000,   44,  56.843
13:17:17:492, 36434082746519,    0.717,   43.000, 3800,  16.255,   7.804,   2.168,  13.108,   5.243,   1.456, 59,  0,   0.000,   0.000,   0.000,   0.330,   0.127,   0.035,  24.000,  51.000, 105.000,   0.000,   0.000,   50,  88.280
13:17:17:616, 36434381510081,    0.841,   40.000, 3800,  17.619,   9.980,   2.772,  13.925,   6.963,   1.934, 65,  0,   0.000,   0.000,   0.000,   0.052,   0.133,   0.037,  24.000,  51.000, 105.000,   0.000,   0.000,   15,  88.423
13:17:17:739, 36434680420470,    0.964,   37.000, 2000,  10.828,  11.318,   3.144,   6.769,   7.799,   2.166, 56,  0,   0.000,   0.000,   0.000,   0.059,   0.140,   0.039,  24.000,  51.000, 105.000,   0.000,   0.000,   33,  88.815
13:17:17:863, 36434978240868,    1.087,   41.000, 2000,   8.958,  12.421,   3.450,   5.772,   8.510,   2.364, 55,  0,   0.000,   0.000,   0.000,   0.081,   0.150,   0.042,  24.000,  51.000, 105.000,   0.000,   0.000,   56,  58.099
13:17:17:970, 36435237493580,    1.194,   42.000, 3800,  12.943,  13.808,   3.836,   9.769,   9.556,   2.655, 63,  0,   0.000,   0.000,   0.000,   0.055,   0.156,   0.043,  24.000,  51.000, 105.000,   0.000,   0.000,   27,  84.794
13:17:18:096, 36435543654272,    1.321,   40.000, 2800,  10.594,  15.149,   4.208,   7.327,  10.484,   2.912, 57,  0,   0.000,   0.000,   0.000,   0.542,   0.225,   0.062,  24.000,  51.000, 105.000,   0.000,   0.000,   99,  88.767
13:17:18:206, 36435808784907,    1.431,   43.000, 2000,   5.358,  15.736,   4.371,   2.372,  10.744,   2.984, 56,  0,   0.000,   0.000,   0.000,   0.432,   0.272,   0.076,  24.000,  51.000, 105.000,   0.000,   0.000,   74,  92.432
13:17:18:330, 36436108181652,    1.554,   49.000, 3800,  15.143,  17.610,   4.892,  12.052,  12.235,   3.399, 58,  0,   0.000,   0.000,   0.000,   0.251,   0.303,   0.084,  24.000,  51.000, 105.000,   0.000,   0.000,   46,  90.623
13:17:18:459, 36436421293304,    1.684,   38.000, 2400,   7.020,  18.519,   5.144,   2.843,  12.603,   3.501, 56,  0,   0.000,   0.000,   0.000,   0.113,   0.318,   0.088,  24.000,  51.000, 105.000,   0.000,   0.000,   23,  90.891
13:17:18:579, 36436711307636,    1.804,   47.000, 2400,   8.821,  19.576,   5.438,   5.517,  13.265,   3.685, 56,  0,   0.000,   0.000,   0.000,   0.272,   0.351,   0.097,  24.000,  51.000, 105.000,   0.000,   0.000,  208,  67.867
13:17:18:704, 36437013188062,    1.928,   39.000, 1800,   6.946,  20.443,   5.679,   2.837,  13.619,   3.783, 54,  0,   0.000,   0.000,   0.000,   0.047,   0.356,   0.099,  24.000,  51.000, 105.000,   0.000,   0.000,   23,  75.324
13:17:18:842, 36437348626584,    2.067,   38.000, 3100,  10.313,  21.873,   6.076,   6.686,  14.546,   4.040, 58,  0,   0.000,   0.000,   0.000,   0.487,   0.424,   0.118,  24.000,  51.000, 105.000,   0.000,   0.000,  278,  58.897
13:17:18:981, 36437683398079,    2.205,   50.000, 3800,  16.452,  24.149,   6.708,  11.555,  16.145,   4.485, 62,  0,   0.000,   0.000,   0.000,   1.107,   0.577,   0.160,  24.000,  51.000, 105.000,   0.000,   0.000,  381,  48.165
13:17:19:103, 36437979543633,    2.328,   41.000, 3000,  17.088,  26.241,   7.289,  13.415,  17.787,   4.941, 62,  0,   0.000,   0.000,   0.000,   0.791,   0.674,   0.187,  24.000,  51.000, 105.000,   0.000,   0.000,  220,  77.854
13:17:19:228, 36438280569487,    2.452,   40.000, 1400,  10.736,  27.577,   7.660,   7.084,  18.668,   5.186, 55,  0,   0.000,   0.000,   0.000,   0.304,   0.712,   0.198,  24.000,  51.000, 105.000,   0.000,   0.000,   75,  91.683
