System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:45:07:021, 40473022575464,    0.119,   29.000, 3800,  11.651,   1.386,   0.385,   8.484,   1.009,   0.280, 53,  0,   0.000,   0.000,   0.000,   0.034,   0.004,   0.001,  24.000,  51.000, 105.000,   0.000,   0.000,    9,  87.936
13:45:07:143, 40473317475254,    0.241,   27.000, 3800,  14.840,   3.195,   0.887,  10.857,   2.332,   0.648, 55,  0,   0.000,   0.000,   0.000,   0.029,   0.008,   0.002,  24.000,  51.000, 105.000,   0.000,   0.000,   32,  88.028
13:45:07:313, 40473728334499,    0.411,   33.000, 3700,  14.055,   5.582,   1.550,  11.043,   4.208,   1.169, 52,  0,   0.000,   0.000,   0.000,   0.035,   0.014,   0.004,  24.000,  51.000, 105.000,   0.000,   0.000,   29,  85.909
13:45:07:421, 40473991130706,    0.519,   31.000, 3800,  15.994,   7.319,   2.033,  11.809,   5.491,   1.525, 54,  0,   0.000,   0.000,   0.000,   0.007,   0.014,   0.004,  24.000,  51.000, 105.000,   0.000,   0.000,  228,  87.178
13:45:07:530, 40474253656650,    0.628,   27.000, 3800,  14.190,   8.859,   2.461,   9.869,   6.562,   1.823, 52,  0,   0.000,   0.000,   0.000,   0.003,   0.015,   0.004,  24.000,  51.000, 105.000,   0.000,   0.000,   10,  89.320
13:45:07:655, 40474555521217,    0.753,   26.000, 3800,  15.115,  10.745,   2.985,  10.782,   7.907,   2.196, 52,  0,   0.000,   0.000,   0.000,   0.118,   0.029,   0.008,  24.000,  51.000, 105.000,   0.000,   0.000,  518,  37.397
13:45:07:779, 40474856922614,    0.877,   23.000, 3800,  15.562,  12.684,   3.523,  10.968,   9.273,   2.576, 60,  0,   0.000,   0.000,   0.000,   0.159,   0.049,   0.014,  24.000,  51.000, 105.000,   0.000,   0.000,  102,  55.467
13:45:07:904, 40475159885352,    1.002,   30.000, 1400,  15.907,  14.676,   4.077,  11.638,  10.731,   2.981, 58,  0,   0.000,   0.000,   0.000,   0.019,   0.052,   0.014,  24.000,  51.000, 105.000,   0.000,   0.000,  141,  50.497
13:45:08:031, 40475464985391,    1.129,   38.000, 2900,  16.700,  16.782,   4.662,  12.422,  12.297,   3.416, 55,  0,   0.000,   0.000,   0.000,   0.015,   0.054,   0.015,  24.000,  51.000, 105.000,   0.000,   0.000,    6,  87.138
13:45:08:154, 40475762473624,    1.251,   49.000, 2900,  17.884,  18.981,   5.273,  13.369,  13.941,   3.873, 59,  0,   0.000,   0.000,   0.000,   0.155,   0.073,   0.020,  24.000,  51.000, 105.000,   0.000,   0.000,   30,  74.531
13:45:08:278, 40476062966864,    1.376,   40.000, 3100,  19.443,  21.396,   5.943,  14.979,  15.802,   4.389, 54,  0,   0.000,   0.000,   0.000,   0.098,   0.085,   0.024,  24.000,  51.000, 105.000,   0.000,   0.000,   18,  90.531
13:45:08:401, 40476360903513,    1.499,   28.000, 3800,  13.799,  23.096,   6.415,  10.623,  17.110,   4.753, 56,  0,   0.000,   0.000,   0.000,   0.046,   0.090,   0.025,  24.000,  51.000, 105.000,   0.000,   0.000,  269,  87.327
13:45:08:526, 40476663558732,    1.624,   36.000, 3800,  16.448,  25.153,   6.987,  12.780,  18.709,   5.197, 52,  0,   0.000,   0.000,   0.000,   0.075,   0.100,   0.028,  24.000,  51.000, 105.000,   0.000,   0.000,   20,  71.962
13:45:08:635, 40476926196897,    1.733,   45.000, 3800,  21.394,  27.476,   7.632,  17.037,  20.559,   5.711, 61,  0,   0.000,   0.000,   0.000,   0.281,   0.130,   0.036,  24.000,  51.000, 105.000,   0.000,   0.000,   56,  90.850
13:45:08:758, 40477224423734,    1.856,   37.000, 2900,  15.607,  29.400,   8.167,  12.132,  22.054,   6.126, 53,  0,   0.000,   0.000,   0.000,   0.064,   0.138,   0.038,  24.000,  51.000, 105.000,   0.000,   0.000,   15,  90.478
13:45:08:866, 40477485884525,    1.964,   37.000, 2900,  15.639,  31.090,   8.636,  12.569,  23.413,   6.503, 56,  0,   0.000,   0.000,   0.000,   0.002,   0.138,   0.038,  24.000,  51.000, 105.000,   0.000,   0.000,    9,  86.433
13:45:08:990, 40477785781426,    2.088,   62.000, 3800,  24.527,  34.130,   9.481,  19.911,  25.881,   7.189, 61,  0,   0.000,   0.000,   0.000,   0.092,   0.150,   0.042,  24.000,  51.000, 105.000,   0.000,   0.000,   17,  88.693
13:45:09:098, 40478048189443,    2.196,   75.000, 3800,  28.062,  37.174,  10.326,  23.391,  28.418,   7.894, 62,  0,   0.000,   0.000,   0.000,   0.042,   0.154,   0.043,  24.000,  51.000, 105.000,   0.000,   0.000,   11,  88.064
13:45:09:221, 40478344782470,    2.319,   84.000, 3800,  28.259,  40.639,  11.289,  23.375,  31.284,   8.690, 61,  0,   0.000,   0.000,   0.000,   0.256,   0.186,   0.052,  24.000,  51.000, 105.000,   0.000,   0.000,   34,  81.057
13:45:09:330, 40478609907437,    2.428,   86.000, 3800,  29.624,  43.885,  12.190,  24.806,  34.002,   9.445, 66,  0,   0.000,   0.000,   0.000,   0.145,   0.202,   0.056,  24.000,  51.000, 105.000,   0.000,   0.000,   55,  75.927
13:45:09:453, 40478906801783,    2.551,   92.000, 3800,  30.846,  47.671,  13.242,  25.989,  37.192,  10.331, 66,  0,   0.000,   0.000,   0.000,   0.166,   0.222,   0.062,  24.000,  51.000, 105.000,   0.000,   0.000,   62,  84.175
13:45:09:593, 40479246107451,    2.691,   98.000, 3800,  30.825,  51.994,  14.443,  26.046,  40.845,  11.346, 66,  0,   0.000,   0.000,   0.000,   0.091,   0.235,   0.065,  24.000,  51.000, 105.000,   0.000,   0.000,  294,  52.850
13:45:09:712, 40479533874965,    2.810,   96.000, 3800,  30.957,  55.677,  15.466,  25.893,  43.925,  12.201, 67,  0,   0.000,   0.000,   0.000,   0.298,   0.270,   0.075,  24.000,  51.000, 105.000,   0.000,   0.000,  120,  34.635
13:45:09:850, 40479865674534,    2.948,   99.000, 3800,  30.370,  59.842,  16.623,  25.478,  47.419,  13.172, 66,  0,   0.000,   0.000,   0.000,   0.197,   0.297,   0.083,  24.000,  51.000, 105.000,   0.000,   0.000,   57,  80.826
13:45:09:987, 40480198802241,    3.085,   85.000, 3800,  29.741,  63.937,  17.760,  24.865,  50.843,  14.123, 67,  0,   0.000,   0.000,   0.000,   0.143,   0.317,   0.088,  24.000,  51.000, 105.000,   0.000,   0.000,   60,  84.210
13:45:10:111, 40480497825008,    3.209,   86.000, 3800,  28.273,  67.432,  18.731,  23.595,  53.760,  14.933, 63,  0,   0.000,   0.000,   0.000,   0.014,   0.319,   0.089,  24.000,  51.000, 105.000,   0.000,   0.000,   15,  87.151
13:45:10:235, 40480798107634,    3.333,   82.000, 3800,  28.119,  70.922,  19.701,  23.203,  56.640,  15.733, 66,  0,   0.000,   0.000,   0.000,   0.314,   0.358,   0.099,  24.000,  51.000, 105.000,   0.000,   0.000,  177,  72.439
13:45:10:360, 40481100260950,    3.458,   79.000, 3800,  27.240,  74.325,  20.646,  22.388,  59.436,  16.510, 65,  0,   0.000,   0.000,   0.000,   0.226,   0.386,   0.107,  24.000,  51.000, 105.000,   0.000,   0.000,   57,  75.075
13:45:10:467, 40481360015458,    3.565,   84.000, 3800,  29.357,  77.477,  21.521,  24.595,  62.077,  17.244, 66,  0,   0.000,   0.000,   0.000,   0.060,   0.392,   0.109,  24.000,  51.000, 105.000,   0.000,   0.000,   13,  86.198
13:45:10:591, 40481660474232,    3.689,   82.000, 3800,  28.103,  80.967,  22.491,  23.332,  64.975,  18.048, 65,  0,   0.000,   0.000,   0.000,   0.133,   0.409,   0.114,  24.000,  51.000, 105.000,   0.000,   0.000,   42,  76.803
13:45:10:714, 40481957892728,    3.812,   74.000, 3800,  26.039,  84.168,  23.380,  21.269,  67.589,  18.775, 67,  0,   0.000,   0.000,   0.000,   0.190,   0.432,   0.120,  24.000,  51.000, 105.000,   0.000,   0.000,   43,  89.494
13:45:10:853, 40482292992351,    3.951,   80.000, 3800,  27.911,  88.034,  24.454,  23.220,  70.806,  19.668, 62,  0,   0.000,   0.000,   0.000,   0.059,   0.440,   0.122,  24.000,  51.000, 105.000,   0.000,   0.000,  295,  51.216
13:45:10:961, 40482553740850,    4.059,   78.000, 3800,  27.908,  91.042,  25.290,  23.088,  73.294,  20.360, 65,  0,   0.000,   0.000,   0.000,   0.183,   0.460,   0.128,  24.000,  51.000, 105.000,   0.000,   0.000,   20,  89.302
13:45:11:087, 40482860015546,    4.185,   76.000, 3800,  27.211,  94.487,  26.246,  22.506,  76.144,  21.151, 64,  0,   0.000,   0.000,   0.000,   0.107,   0.474,   0.132,  24.000,  51.000, 105.000,   0.000,   0.000,   18,  83.867
13:45:11:211, 40483160509804,    4.310,   82.000, 3800,  28.119,  97.980,  27.217,  23.403,  79.050,  21.958, 66,  0,   0.000,   0.000,   0.000,   0.046,   0.479,   0.133,  24.000,  51.000, 105.000,   0.000,   0.000,   10,  82.854
13:45:11:330, 40483448075318,    4.428,   80.000, 3800,  27.862, 101.292,  28.137,  23.068,  81.792,  22.720, 67,  0,   0.000,   0.000,   0.000,   0.141,   0.496,   0.138,  24.000,  51.000, 105.000,   0.000,   0.000,   50,  88.182
13:45:11:453, 40483745799222,    4.551,   70.000, 3800,  26.300, 104.529,  29.036,  21.671,  84.459,  23.461, 68,  0,   0.000,   0.000,   0.000,   0.033,   0.500,   0.139,  24.000,  51.000, 105.000,   0.000,   0.000,   13,  89.928
13:45:11:560, 40484002623851,    4.658,   74.000, 3800,  26.457, 107.337,  29.816,  21.601,  86.753,  24.098, 66,  0,   0.000,   0.000,   0.000,   0.246,   0.526,   0.146,  24.000,  51.000, 105.000,   0.000,   0.000,  183,  91.010
13:45:11:669, 40484267723099,    4.767,   72.000, 3800,  25.636, 110.146,  30.596,  20.906,  89.044,  24.734, 66,  0,   0.000,   0.000,   0.000,   0.130,   0.541,   0.150,  24.000,  51.000, 105.000,   0.000,   0.000,   14,  86.541
13:45:11:792, 40484565032402,    4.890,   68.000, 3800,  25.674, 113.302,  31.473,  20.982,  91.622,  25.451, 64,  0,   0.000,   0.000,   0.000,   0.093,   0.552,   0.153,  24.000,  51.000, 105.000,   0.000,   0.000,   27,  89.169
13:45:11:915, 40484862438428,    5.013,   75.000, 3800,  26.198, 116.522,  32.367,  21.428,  94.256,  26.182, 64,  0,   0.000,   0.000,   0.000,   0.165,   0.572,   0.159,  24.000,  51.000, 105.000,   0.000,   0.000,   76,  33.464
13:45:12:041, 40485166714445,    5.139,   71.000, 3800,  25.784, 119.765,  33.268,  21.058,  96.905,  26.918, 66,  0,   0.000,   0.000,   0.000,   0.142,   0.590,   0.164,  24.000,  51.000, 105.000,   0.000,   0.000,  314,  52.981
13:45:12:147, 40485423240087,    5.245,   66.000, 3800,  24.577, 122.371,  33.992,  19.817,  99.006,  27.502, 61,  0,   0.000,   0.000,   0.000,   0.210,   0.612,   0.170,  24.000,  51.000, 105.000,   0.000,   0.000,   39,  73.230
13:45:12:270, 40485721456690,    5.368,   69.000, 3800,  25.184, 125.476,  34.854,  20.577, 101.543,  28.206, 65,  0,   0.000,   0.000,   0.000,   0.013,   0.614,   0.171,  24.000,  51.000, 105.000,   0.000,   0.000,   13,  88.670
13:45:12:391, 40486015054926,    5.489,   67.000, 3800,  25.911, 128.621,  35.728,  21.184, 104.114,  28.920, 66,  0,   0.000,   0.000,   0.000,   0.138,   0.631,   0.175,  24.000,  51.000, 105.000,   0.000,   0.000,   50,  87.234
13:45:12:515, 40486313209695,    5.613,   70.000, 3800,  26.889, 131.934,  36.648,  22.292, 106.861,  29.684, 68,  0,   0.000,   0.000,   0.000,   0.017,   0.633,   0.176,  24.000,  51.000, 105.000,   0.000,   0.000,   15,  77.353
